Measuring performance with a cycle counter.
Processor clock rate ~= 2000.0 MHz

Testing mm malloc
Reading tracefile: ./traces/alaska.rep
Checking mm_malloc for correctness, 
line:294,function:mm_init
line:160,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:166,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:194,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:166,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:363,function:mm_malloc
line:179,function:coalesce
line:384,function:mm_free
line:160,function:coalesce
line:384,function:mm_free
line:166,function:coalesce
line:384,function:mm_free
line:194,function:coalesce
